block;bee_hive;loaf;boat;tub;blinker;toad;beacon;pulsar;glider
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;[[0, 0, 6, 8]];0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
[[0, 0, 7, 1]];0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
[[0, 0, 12, 0]];0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
[[0, 0, 4, 7]];0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;[[0, 1, 10, 2]];0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;[[0, 1, 6, 13]];0;0;0;[[0, 0, 11, 8]];0;0;0;0
0;[[0, 1, 6, 13]];0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;[[0, 0, 13, 12]];0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;[[0, 1, 3, 8]];0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;[[0, 1, 10, 12]];0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;[[0, 1, 10, 13]];0;0;0;0
0;0;0;0;0;[[0, 1, 8, 6]];0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;[[0, 0, 13, 4]];0;0;0;0
